source,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude
myrealty,142224,125000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Balcony', 'Laminate flooring', 'Sunny', 'View', 'Close to the bus station', 'Elevator']","Yerevan, Erebuni, Khaghagh Don St",80,3,8,9,Panel,Newly repaired,3 M,1,,09.11.2023,174,,,,,,,
myrealty,142221,90000,"['Water', 'water 24/7', 'Electricity', 'Internet', 'Hot water', 'Gas', 'Heating', 'Close to the bus station', 'Sunny', 'Euro windows', 'High first floor', 'Open balcony', 'Equipment', 'Furniture']","Yerevan, Malatia-Sebastia, Gusan Sheram St",76,3,5,5,Stone,Good,3 M,1,,09.11.2023,202,,,,,,,
myrealty,142209,76000,"['Heating', 'Gas', 'Hot water', 'Open balcony', 'Sunny', 'View', 'Close to the bus station']","Yerevan, Arabkir, N. Tigranyan St",39,1,2,5,Stone,Zero condition,3.2 M,1,,08.11.2023,224,,,,,,,
myrealty,142207,280000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Central heating', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Tile', 'Laminate flooring', 'Security system', 'Sunny', 'View', 'Close to the bus station', 'Parking', 'Playground', 'Park']","Yerevan, Center, Leo St",82,4,4,4,Stone,Newly repaired,3.8 M,2,,08.11.2023,186,,,,,,,
myrealty,142206,260000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Central heating', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Balcony', 'Tile', 'Laminate flooring', 'Security system', 'Sunny', 'View', 'Close to the bus station', 'Parking', 'Park', 'High first floor']","Yerevan, Center, NarDos St",133,4,2,4,Stone,Newly repaired,3.2 M,2,,08.11.2023,206,,,,,,,
myrealty,142204,210000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Parquet', 'Sunny', 'View', 'Bilateral', 'Close to the bus station', 'Park', 'Elevator']","Yerevan, Davtashen, Davtashen 4 St",89,3,11,16,Monolit,Newly repaired,2.8 M,2,,08.11.2023,361,,,,,,,
myrealty,142202,100000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Balcony', 'Storage room', 'Tile', 'Laminate flooring', 'Parquet', 'Heated floor', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Parking', 'High first floor', 'Elevator']","Yerevan, Shengavit, Artashisyan St",77,3,9,9,Panel,Newly repaired,2.8 M,1,,08.11.2023,152,,,,,,,
myrealty,142200,158000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Parquet', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Elevator']","Yerevan, Center, Tigran Mets Ave",71,3,12,14,Panel,Newly repaired,2.8 M,1,,08.11.2023,181,,,,,,,
myrealty,142198,950000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Laminate flooring', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Playground', 'Park', 'Elevator']","Yerevan, Center, Buzand St",140,3,4,16,Monolit,Newly repaired,3 M,2,,08.11.2023,192,,,,,,,
myrealty,142196,150000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Balcony', 'Tile', 'Laminate flooring', 'Parquet', 'Sunny', 'View', 'Close to the bus station', 'Garage', 'Playground']","Yerevan, Center, Ayas St",95,5,1,3,Stone,Newly repaired,3.2 M,1,,08.11.2023,153,,,,,,,
