source,webpage,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude,flooring,entrance_door,construction_type,renovation,windows,heating,parking,cooling
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Sasna+Tsrer+St/Davtashen/Yerevan/136510,136510,408000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Central heating', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Tile', 'Laminate flooring', 'Security system', 'Sunny', 'View', 'Bilateral', 'Roadside', 'Playground', 'Park', 'Elevator']","Yerevan, Davtashen, Sasna Tsrer St",123,3,8,18,Monolit,Newly repaired,3 M,2,,14.06.2023,1231,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Saryan+St/Center/Yerevan/135755,135755,250000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Bilateral', 'Elevator']","Yerevan, Center, Saryan St",96,3,7,11,Panel,Newly repaired,2.8 M,1,,14.06.2023,1538,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale/Hakobyan+St/Arabkir/Yerevan/136014,136014,245000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Tile', 'Laminate flooring', 'Security system', 'Sunny', 'Bilateral', 'Roadside', 'Close to the bus station', 'Elevator']","Yerevan, Arabkir, Hakobyan St",105,4,6,7,Stone,Newly repaired,2.8 M,2,,14.06.2023,1630,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Adonts+St/Arabkir/Yerevan/135626,135626,183500,"['Hot water', 'Air-conditioner', 'Central heating', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Laminate flooring', 'Sunny', 'Parking']","Yerevan, Arabkir, Adonts St",83,3,2,8,Monolit,Newly repaired,3 M,1,,13.06.2023,1342,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Mamikoniants+St/Arabkir/Yerevan/135620,135620,80000,"['Laminate flooring', 'Tile', 'Euro windows', 'Open balcony', 'Equipment', 'Furniture']","Yerevan, Arabkir, Mamikoniants St",40,1,5,5,Stone,Good,3 M,1,,13.06.2023,1385,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Adonts+St/Arabkir/Yerevan/135618,135618,128000,"['Electricity', 'Central heating', 'Hot water', 'Parking', 'Tile', 'Euro windows', 'Elevator', 'Open balcony', 'Equipment', 'Furniture']","Yerevan, Arabkir, Adonts St",46,2,2,9,Monolit,Newly repaired,3 M,1,,13.06.2023,1488,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Vazgen+Sargsyan+St/Center/Yerevan/135890,135890,1450000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Central heating', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Tile', 'Parquet', 'Heated floor', 'Security system', 'Sunny', 'View', 'Bilateral', 'Roadside', 'Park', 'Elevator']","Yerevan, Center, Vazgen Sargsyan St",280,2,7,10,Monolit,Newly repaired,3 M,2,,13.06.2023,1317,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/M%E2%80%A4+Melqonyan+str/Malatia-Sebastia/Yerevan/135556,135556,220000,"['Electricity', 'Gas', 'Water', 'Euro windows', 'Open balcony', 'Tile', 'Laminate flooring', 'Sunny', 'View', 'Roadside', 'Playground', 'Park', 'Elevator']","Yerevan, Malatia-Sebastia, M․ Melqonyan str",99,3,17,17,Monolit,Newly repaired,3.2 M,2,,12.06.2023,1262,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/M%E2%80%A4+Melqonyan+str/Malatia-Sebastia/Yerevan/135555,135555,193000,"['Electricity', 'Gas', 'Water', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Laminate flooring', 'Sunny', 'Roadside', 'Elevator']","Yerevan, Malatia-Sebastia, M․ Melqonyan str",99,3,7,17,Monolit,Newly repaired,3.2 M,2,,12.06.2023,1410,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Mikoyan+St/Davtashen/Yerevan/135519,135519,90000,"['View', 'Euro windows', 'Elevator', 'Open balcony']","Yerevan, Davtashen, Mikoyan St",46,2,10,20,Monolit,Zero condition,3 M,1,,12.06.2023,2138,,,,,,,,,,,,,,,
