source,webpage,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude,flooring,entrance_door,construction_type,renovation,windows,heating,parking,cooling
bars,https://bars.am/en/properties/standard/apartment/4-3-1389,4-3-1389,190000,"['Elevator', 'Open balcony']",Yerevan/Arabkir/Malkhasyants Street,96.0,3,2,14,Panel,Without renovation,3.0,2,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-N-390,1-N-390,220000,['Open balcony'],Yerevan/Small Center/Vardanants Street (S.C.),120.0,3,13,13,New building,Without renovation,3.0,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-2-981,1-2-981,175000,"['Heating system', 'Air conditioning', 'Furniture']",Yerevan/Small Center/Zakyan Street 1st Lane,62.0,2,5,5,Stone,Major overhaul,,1,1,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-A-99,1-A-99,160000,"['Elevator', 'Heating system', 'Furniture']",Yerevan/Small Center/Verin Antarain Street,69.0,3,7,8,New building,Major overhaul,3.0,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-N-420,1-N-420,1260000,"['Building security', 'Garage', 'Elevator', 'Heating system', 'Cooling system', 'Open balcony', 'Panorama', 'Furniture', 'Transport availability', 'Exclusive design']",Yerevan/Small Center/Demirchyan Street,366.0,7,7,11,New building,Major overhaul,3.0,4,4,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-3-1958,1-3-1958,380000,"['Heating system', 'Open balcony']",Yerevan/Small Center/Abovyan Street,100.0,3,3,4,Stalinka c/o,Major overhaul,3.1,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-3-2101,1-3-2101,270000,"['Parking', 'Elevator', 'Heating system', 'Air conditioning', 'Open balcony', 'Panorama', 'Washing machine', 'Fridge']",Yerevan/Small Center/Koghbatsi Street,90.0,3,4,11,Panel,Redecoration,2.75,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/98976,98976,95000,"['Heating system', 'Air conditioning', 'Panorama', 'Washing machine', 'Fridge']",Yerevan/Shengavit/E.Tadevosyan st.,69.0,3,5,9,Panel,Major overhaul,2.8,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-1388,4-3-1388,118000,"['First line', 'Heating system', 'Closed balcony']",Yerevan/Arabkir/Komitas Avenue,68.0,3,3,5,Stone,Major overhaul,2.7,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-N-125,1-N-125,240000,"['Elevator', 'Heating system', 'Air conditioning', 'Open balcony']",Yerevan/Small Center/Buzand Street,45.0,2,5,14,New building,Major overhaul,3.0,1,1,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-2-69,4-2-69,150000,['Open balcony'],Yerevan/Arabkir/Kasyan Street,73.0,2,4,5,Stone,Without renovation,3.1,1,1,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-3-1762а,1-3-1762а,200000,[],Yerevan/Small Center/Sayat-Nova  Avenue,100.0,3,5,5,Stalinka c/o,Without renovation,3.0,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-3-2100,1-3-2100,170000,"['Building service', 'Building security', 'Elevator']",Yerevan/Small Center/Charents Street (S.C.),98.0,3,12,16,Panel,Without renovation,3.0,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/2-3-172,2-3-172,120000,"['Elevator', 'Heating system', 'Open balcony']",Yerevan/Big Center/Yervand Kochar Street,67.0,3,2,14,Panel,Partial renovation,2.75,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-1387,4-3-1387,210000,"['Elevator', 'Heating system', 'Open balcony', 'Furniture', 'Not lived in']",Yerevan/Arabkir/Aram Khachatryan Street,75.0,3,2,16,New building,Major overhaul,3.0,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-1386,4-3-1386,150000,"['Heating system', 'Open balcony', 'Furniture']",Yerevan/Arabkir/Vratsakan Street,80.0,3,2,5,Special project,Major overhaul,2.8,1,2,,,,,,,,,,,,,,,,,
