source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,SL_opera,SL_zvartnoc,SL_dalma,SL_central_cemetery,SL_zeytun_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
bnakaran,d85484,900000.0,143.0,3.0,7.0,12.0,2.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"(40.18048421, 44.51240735)",654,10012,2040,3995,4568,2444,4553,4,11,3,3,9,3,0,3,0,1,1,2,0,3,0,0
myrealty,141101,150000.0,83.0,3.0,4.0,5.0,1.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,"(40.142743286128734, 44.49457158982455)",5116,8066,4075,3872,8906,6060,779,1,1,3,2,3,0,2,2,0,0,0,0,0,0,0,0
myrealty,141481,154999.99999999997,63.0,2.0,15.0,16.0,1.0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.20413115, 44.51872985)",2039,11580,3789,6172,2509,2253,7152,3,8,2,1,2,1,4,2,0,0,0,1,0,0,0,0
myrealty,137425,125000.0,92.0,3.0,9.0,13.0,1.0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,"(40.20489739999999, 44.4972968)",2588,10091,2965,6976,4236,902,6740,5,3,2,2,0,1,0,2,0,1,0,0,0,1,0,0
myrealty,135320,190000.0,74.0,4.0,13.0,18.0,2.0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.14520375, 44.48439985)",5232,7174,3784,4673,9136,5840,127,8,6,2,6,3,0,0,5,0,0,0,2,0,0,0,0
bars,4-3-1334,185000.0,100.0,3.0,2.0,14.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,"(40.21198605, 44.5046635)",3022,11061,3907,7399,3527,1882,7627,1,1,1,0,1,0,0,2,1,0,1,0,0,0,0,0
myrealty,124933,200000.0,90.0,4.0,5.0,8.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"(40.1906722427931, 44.46234708546167)",4510,6769,2564,7871,7521,2767,5465,4,7,1,12,1,1,1,1,0,0,1,0,0,0,0,0
bars,1-N-320,350000.0,75.0,3.0,6.0,10.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"(40.18489525304254, 44.525275644939626)",873,11204,3193,3964,3542,3006,5566,2,11,1,1,6,1,0,1,0,0,12,0,0,2,0,0
myrealty,134405,325000.0,100.0,3.0,5.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"(40.1861605885798, 44.514048989347714)",90,10356,2311,4463,4000,2117,5174,9,32,1,4,4,2,0,2,0,0,2,1,0,1,0,0
myrealty,137933,165000.0,95.0,3.0,4.0,5.0,1.0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.2061998983339, 44.57111460185527)",5261,15685,7640,6740,2226,6643,9945,2,0,0,5,1,0,1,2,0,0,0,1,0,0,0,0
bars,1-3-1912,120000.0,85.0,3.0,2.0,4.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,"(40.15477242139723, 44.45609932611657)",6097,4733,3857,7051,9985,5705,2755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bnakaran,d117460,162000.00000000003,89.0,3.0,7.0,10.0,2.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,"(40.204558624735, 44.530791)",2457,12501,4576,6017,1575,3246,7652,4,6,0,1,6,1,2,4,1,1,2,1,0,11,0,0
bars,6-О-117,105000.0,102.0,4.0,5.0,5.0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,"(40.20656139447395, 44.47143471084086)",4356,8527,3378,8443,6382,2162,6963,4,10,4,7,0,1,1,2,0,0,0,4,0,0,0,0
