source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,SL_opera,SL_zvartnoc,SL_dalma,SL_central_cemetery,SL_zeytun_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
myrealty,138172,495000.00000000006,134.0,3.0,16.0,22.0,2.0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,"(40.177015330930764, 44.519048808509375)",1054,10441,2609,3367,4565,3108,4549,7,10,2,5,10,1,0,2,0,1,0,0,1,0,0,0
myrealty,122549,185000.0,76.0,4.0,9.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"(40.177015330930764, 44.519048808509375)",1054,10441,2609,3367,4565,3108,4549,7,10,2,5,10,1,0,2,0,1,0,0,1,0,0,0
bnakaran,d92366,400000.0,130.0,3.0,5.0,6.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"(40.200145683478, 44.51670775032)",1578,11215,3351,5801,2853,1973,6677,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
bars,1-3-2069,765000.0,170.0,5.0,5.0,6.0,3.0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,"(40.17743184144194, 44.517821617617976)",980,10353,2501,3460,4579,3003,4522,9,12,2,6,8,1,0,1,0,0,0,1,1,0,0,0
bars,1-N-98,1100000.0,417.0,7.0,5.0,6.0,2.0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,"(40.17885352616499, 44.50948029563954)",926,9719,1786,3997,4866,2441,4274,5,23,5,1,10,2,0,1,1,1,1,3,0,0,0,0
bars,1-2-605,180000.0,65.0,2.0,2.0,5.0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,"(40.1861605885798, 44.514048989347714)",90,10356,2311,4463,4000,2117,5174,9,32,1,4,4,2,0,2,0,0,2,1,0,1,0,0
bars,1-3-1976,185000.0,130.0,4.0,4.0,5.0,2.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,"(40.185361400000005, 44.5055185)",816,9650,1607,4776,4583,1654,4797,2,3,4,3,7,1,1,2,1,0,0,1,0,2,0,0
myrealty,142556,110000.0,76.0,4.0,2.0,6.0,1.0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,"(40.17534841784899, 44.457979422619005)",4994,5515,2622,7398,8553,3895,4130,2,9,0,2,4,0,0,1,0,0,0,0,0,0,0,0
myrealty,139299,835000.0,174.0,4.0,6.0,9.0,3.0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,"(40.183313571671, 44.51181945133735)",407,10067,2039,4285,4361,2178,4806,11,23,5,5,6,5,0,4,0,1,1,4,0,5,0,0
myrealty,127933,90000.00000000001,74.0,2.0,1.0,10.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"(40.20489739999999, 44.4972968)",2588,10091,2965,6976,4236,902,6740,5,3,2,2,0,1,0,2,0,1,0,0,0,1,0,0
myrealty,139620,820000.0,146.0,4.0,5.0,19.0,2.0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.1832187, 44.50449735)",951,9481,1437,4641,4807,1805,4544,1,7,3,1,6,3,1,2,1,1,1,1,0,0,0,0
