source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,coordinates
bnakaran,d117397,245000.0,81.0,3.0,9.0,12.0,Panel,Good Condition,1.0,0,0,0,0,0,1,0,0,44.518637,40.183092,"(40.183092, 44.518637)"
bnakaran,d117268,165000.0,72.0,3.0,5.0,5.0,Other,Other,1.0,1,0,0,0,0,1,1,0,44.499108,40.228462,"(40.228462, 44.499108)"
bnakaran,d95156,750000.0,121.0,3.0,6.0,10.0,Monolit,Good Condition,2.0,1,0,0,1,0,1,0,0,44.51189773,40.17987763,"(40.17987763, 44.51189773)"
bnakaran,d96710,85000.0,70.0,3.0,1.0,2.0,Stone,Good Condition,1.0,0,0,0,0,0,0,0,0,44.47919182209,40.129382942498,"(40.129382942498, 44.47919182209)"
bnakaran,d117382,239000.0,95.0,3.0,5.0,5.0,Stone,Good Condition,2.0,0,0,0,0,0,1,1,0,44.506406404754,40.185264339858,"(40.185264339858, 44.506406404754)"
bnakaran,d117383,312000.0,99.0,3.0,4.0,4.0,Stone,Good Condition,1.0,0,0,0,0,0,0,0,0,44.508580830688,40.180067226186,"(40.180067226186, 44.508580830688)"
bnakaran,d117381,380000.0,167.0,5.0,3.0,4.0,Stone,Good Condition,2.0,0,0,0,0,0,0,0,0,44.523353,40.20878,"(40.20878, 44.523353)"
bnakaran,d117287,90000.0,62.0,3.0,10.0,12.0,Panel,Good Condition,2.0,0,0,0,0,0,1,0,0,44.563215956312,40.200331060525,"(40.200331060525, 44.563215956312)"
bnakaran,d117375,420000.0,128.0,4.0,2.0,4.0,Stone,Good Condition,2.0,0,0,0,0,0,0,0,0,44.518346253967,40.18629874333,"(40.18629874333, 44.518346253967)"
bnakaran,d117370,330000.0,140.0,4.0,4.0,4.0,Stone,Good Condition,2.0,0,0,0,0,0,0,0,0,44.519554067459,40.178458395285,"(40.178458395285, 44.519554067459)"
bnakaran,d102965,115000.0,67.0,3.0,9.0,9.0,Panel,Good Condition,1.0,0,0,0,0,0,0,0,0,44.523599880951,40.204333639776,"(40.204333639776, 44.523599880951)"
bnakaran,d107124,190000.0,104.0,3.0,11.0,11.0,Monolit,New/Excellent Condition,2.0,1,0,0,1,0,0,0,0,44.486430825316,40.152044769353,"(40.152044769353, 44.486430825316)"
bnakaran,d117365,136000.0,90.0,3.0,2.0,5.0,Stone,Needs Renovation/Repair,1.0,0,0,0,0,0,0,0,0,44.511631137571,40.158427155871,"(40.158427155871, 44.511631137571)"
bnakaran,d117366,212000.0,88.0,3.0,10.0,12.0,Panel,Good Condition,1.0,0,0,0,0,0,0,1,0,44.509983136245,40.183281752199,"(40.183281752199, 44.509983136245)"
bnakaran,d117356,210000.0,102.0,3.0,2.0,14.0,Panel,New/Excellent Condition,2.0,0,0,0,0,0,1,0,0,44.529249610991,40.181713967882,"(40.181713967882, 44.529249610991)"
bnakaran,d117355,339000.0,110.0,4.0,2.0,5.0,Stone,Good Condition,1.0,0,0,0,0,0,1,0,0,44.512879,40.17787,"(40.17787, 44.512879)"
bnakaran,d117353,550000.0,145.0,4.0,2.0,4.0,Stone,Good Condition,1.0,0,0,0,0,0,0,0,0,44.512879,40.17787,"(40.17787, 44.512879)"
bnakaran,d117350,144000.0,62.0,1.0,14.0,16.0,Panel,Needs Renovation/Repair,1.0,0,0,0,0,0,1,1,0,44.512879,40.17787,"(40.17787, 44.512879)"
bnakaran,d117352,141000.0,62.0,2.0,14.0,16.0,Panel,Needs Renovation/Repair,1.0,0,0,0,0,0,1,1,0,44.512879,40.17787,"(40.17787, 44.512879)"
bnakaran,d107451,460000.0,144.0,4.0,1.0,6.0,Monolit,New/Excellent Condition,2.0,1,0,0,1,0,0,0,0,44.5087762,40.1968163,"(40.1968163, 44.5087762)"
bnakaran,d117331,63000.0,35.0,2.0,7.0,9.0,Other,New/Excellent Condition,1.0,0,0,0,0,0,1,0,0,44.45918682209,40.21209956369,"(40.21209956369, 44.45918682209)"
bnakaran,d114379,480000.0,175.0,4.0,10.0,11.0,Monolit,New/Excellent Condition,3.0,1,0,0,0,0,1,0,0,44.506465508565,40.198746553231,"(40.198746553231, 44.506465508565)"
bnakaran,d117319,150000.0,59.0,2.0,4.0,4.0,Stone,Good Condition,2.0,0,0,0,0,0,0,0,0,44.499012931213,40.201951539453,"(40.201951539453, 44.499012931213)"
bnakaran,d117304,475000.0,182.0,3.0,7.0,11.0,Monolit,New/Excellent Condition,1.0,1,0,0,0,0,0,0,0,44.489872095275,40.179236059992,"(40.179236059992, 44.489872095275)"
bnakaran,d117302,837000.0,186.0,5.0,14.0,16.0,Monolit,Good Condition,2.0,1,0,0,0,0,1,0,0,44.505746,40.181887,"(40.181887, 44.505746)"
bnakaran,d117296,420000.0,128.0,4.0,2.0,4.0,Stone,Good Condition,2.0,0,0,0,0,0,0,0,0,44.519154780426,40.186626570425,"(40.186626570425, 44.519154780426)"
bnakaran,d117295,185000.0,56.0,2.0,5.0,5.0,Other,New/Excellent Condition,1.0,0,0,0,0,0,1,0,0,44.518198017197,40.18698008637,"(40.18698008637, 44.518198017197)"
bnakaran,d117294,245000.0,60.0,2.0,6.0,13.0,Monolit,New/Excellent Condition,1.0,1,0,0,0,0,1,1,0,44.510368499969,40.180799252784,"(40.180799252784, 44.510368499969)"
bnakaran,d115098,400000.0,200.0,5.0,1.0,4.0,Monolit,Good Condition,2.0,1,0,0,0,0,1,0,0,44.53970687,40.217931022988,"(40.217931022988, 44.53970687)"
bnakaran,d117282,360000.0,51.0,3.0,4.0,9.0,Monolit,Good Condition,1.0,1,0,0,0,0,0,0,0,44.514605931097,40.179286390586,"(40.179286390586, 44.514605931097)"
bnakaran,d117275,670000.0,160.0,4.0,8.0,10.0,Monolit,Good Condition,3.0,1,0,0,1,0,1,0,0,44.503835507934,40.192051533575,"(40.192051533575, 44.503835507934)"
bnakaran,d117239,112000.0,53.0,2.0,1.0,9.0,Panel,New/Excellent Condition,1.0,0,0,0,0,0,0,1,0,44.518283253967,40.167675230958,"(40.167675230958, 44.518283253967)"
bnakaran,d117277,375000.0,155.0,4.0,10.0,14.0,Monolit,Good Condition,2.0,1,0,0,0,0,1,0,0,44.518477084656,40.209538,"(40.209538, 44.518477084656)"
bnakaran,d117232,135000.0,62.0,3.0,5.0,5.0,Stone,Good Condition,1.0,0,0,0,0,0,1,0,0,44.495910423279,40.199841689652,"(40.199841689652, 44.495910423279)"
bnakaran,d117259,182000.0,61.0,2.0,6.0,11.0,Monolit,Good Condition,1.0,1,0,0,0,0,0,0,0,44.520523,40.20867,"(40.20867, 44.520523)"
bnakaran,d117262,140000.0,74.0,2.0,2.0,3.0,Other,Good Condition,1.0,0,0,0,0,0,1,0,0,44.520254779099,40.208670001255,"(40.208670001255, 44.520254779099)"
bnakaran,d117257,179000.0,80.0,3.0,8.0,13.0,Panel,Good Condition,1.0,0,0,0,0,0,1,0,0,44.519388718243,40.180894169067,"(40.180894169067, 44.519388718243)"
bnakaran,d117223,300000.0,86.0,3.0,10.0,11.0,Monolit,Good Condition,2.0,0,0,0,0,0,1,0,0,44.511200611114,40.181599187099,"(40.181599187099, 44.511200611114)"
