,source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,SL_opera,SL_zvartnoc,SL_central_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_parking,L_clinic,L_place_of_worship,L_university,L_kindergarten,L_hospital,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other
1595,bnakaran,d112460,175000.0,70.0,3.0,7.0,9.0,1.0,0,0,0,0,0,0,0,0,44.518074128523,40.177826323083,943,10386,3487,2986,4570,9,11,7,1,0,0,1,0,0,0,1,0,1,0,0,0
1596,bnakaran,d112991,110000.0,43.0,2.0,3.0,10.0,2.0,0,0,0,0,0,1,0,0,44.5064375238,40.206337721309,2377,10821,6763,1476,7050,1,3,6,0,0,0,1,1,0,0,1,0,0,0,1,0
1597,bnakaran,d105323,140000.0,33.0,2.0,2.0,5.0,1.0,0,0,0,0,0,0,0,0,44.503700256348,40.177898406982,1322,9219,4245,2309,3968,12,13,4,1,2,0,1,1,0,0,0,1,0,0,1,0
1602,bnakaran,d116333,300000.0,129.0,4.0,6.0,8.0,2.0,1,0,0,0,0,0,0,0,44.522924084656,40.213436935609,3122,12424,7095,3060,8244,1,2,3,0,0,0,0,2,1,0,0,0,1,0,0,0
1603,bnakaran,d116423,170000.0,67.0,3.0,10.0,14.0,1.0,1,0,0,0,0,1,0,0,44.512879,40.17787,923,9963,3734,2696,4324,1,16,14,1,0,0,0,0,1,0,0,0,1,0,0,0
1610,bnakaran,d116524,82000.0,30.0,1.0,3.0,4.0,1.0,0,0,0,0,0,1,0,0,44.505997641525,40.206132062124,2368,10777,6757,1433,7018,3,4,5,0,0,0,1,1,0,0,0,1,1,0,0,0
1612,bnakaran,d116739,250000.0,115.0,3.0,4.0,10.0,1.0,1,0,0,0,0,1,0,0,44.545287371688,40.21836451578,4419,14326,7532,4964,9601,0,1,1,0,0,0,0,3,1,0,0,0,1,0,0,0
1614,bnakaran,d117251,128000.0,86.0,3.0,8.0,14.0,0.0,0,0,0,0,0,1,1,0,44.444499969482,40.16960144043,6268,4204,8290,5193,4459,1,2,1,0,0,0,3,0,0,0,1,0,1,0,0,0
1617,bnakaran,d113760,190000.0,74.0,3.0,2.0,4.0,1.0,0,0,0,0,0,1,0,0,44.520568,40.20650100708,2326,11847,6386,2497,7456,5,8,6,2,1,0,1,0,0,0,0,1,1,0,0,0
1620,bnakaran,d61017,395000.0,60.0,2.0,3.0,16.0,1.0,1,0,0,0,0,1,0,0,44.510423720058,40.180692384193,710,9859,4111,2320,4492,4,14,8,3,0,1,3,3,1,0,0,0,0,0,1,0
1622,bnakaran,d103237,440000.0,117.0,4.0,2.0,5.0,2.0,1,0,0,1,0,0,0,0,44.508791,40.196423,1276,10427,5681,1278,6049,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0
1629,bnakaran,d116259,180000.0,120.0,3.0,8.0,10.0,2.0,1,0,0,0,0,1,1,0,44.549153966934,40.196637910225,3125,13558,5170,4703,7874,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0
1632,bnakaran,d116262,172500.0,120.0,3.0,5.0,10.0,2.0,1,0,0,0,0,1,1,0,44.549014492065,40.196572092742,3112,13544,5161,4691,7861,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0
1636,bnakaran,d115831,130000.0,97.0,3.0,6.0,9.0,1.0,0,0,0,0,0,1,0,0,44.512879,40.17787,923,9963,3734,2696,4324,1,16,14,1,0,0,0,0,0,0,1,0,1,0,0,0
