source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,SL_opera,SL_zvartnoc,SL_central_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_parking,L_clinic,L_place_of_worship,L_university,L_kindergarten,L_hospital,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other
bnakaran,d117893,630000.0,180.0,4.0,3.0,9.0,2.0,1,0,0,0,0,1,0,0,44.514441338623,40.18171777655,479,10219,4017,2461,4759,6,26,9,3,0,1,2,2,1,0,0,0,1,0,0,0
bnakaran,d117899,120000.0,42.0,2.0,8.0,10.0,1.0,0,0,0,0,0,1,0,0,44.512879,40.17787,923,9963,3734,2696,4324,1,16,14,1,0,0,0,0,1,0,0,0,0,0,1,0
myrealty,127451,210000.0,80.0,3.0,12.0,16.0,1.0,1,0,0,0,0,0,0,0,44.520265311668524,40.1995721688172,1571,11452,5649,2264,6744,3,4,8,0,0,0,3,0,0,1,0,0,0,1,0,0
myrealty,135755,250000.0,96.0,3.0,7.0,11.0,1.0,0,0,1,0,1,1,1,1,44.505052000470215,40.183781674798254,887,9548,4660,1776,4619,3,6,6,2,1,1,2,0,0,0,1,0,0,0,1,0
bars,4-3-1150,250000.0,105.0,3.0,10.0,18.0,2.0,0,0,0,0,1,0,1,1,44.55827345658594,40.199176396159615,3949,14382,5625,5481,8617,3,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0
myrealty,140367,320000.0,130.0,4.0,5.0,10.0,2.0,1,0,0,0,0,0,0,0,44.48439985,40.14520375,5232,7174,4673,5840,127,8,6,3,0,0,0,2,0,1,0,0,0,0,0,1,0
myrealty,134815,160000.0,96.0,4.0,9.0,9.0,1.0,0,0,1,0,1,0,1,1,44.50292388371961,40.192933034202376,1289,9805,5593,912,5532,4,6,2,0,0,0,0,0,0,1,0,0,1,0,0,0
bars,1-A-113,500000.0,146.0,4.0,3.0,6.0,2.0,1,1,0,1,1,0,0,0,44.50523170804844,40.19493042144863,1298,10082,5680,1005,5800,0,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0
myrealty,137126,365000.0,130.0,4.0,5.0,14.0,2.0,1,0,1,0,0,1,1,0,44.50777117033231,40.21015348895229,2756,11154,7109,1863,7489,1,0,2,1,0,1,1,0,1,0,0,0,0,0,1,0
myrealty,124227,140000.0,65.0,4.0,5.0,5.0,1.0,0,0,0,0,0,0,0,0,44.52473536231635,40.20625843913501,2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0,0,0,0,1,0,0,1,0
myrealty,135918,190000.0,83.0,3.0,13.0,14.0,1.0,1,0,1,0,1,0,1,1,44.476933542701154,40.20438901998362,3832,8701,7951,1636,6656,10,14,1,0,0,0,3,2,1,0,0,0,0,0,1,0
bars,1-N-367,390000.0,178.0,4.0,12.0,14.0,3.0,0,1,0,0,1,0,1,1,44.50409202665325,40.17429211194108,1602,9136,3946,2697,3615,4,6,3,0,0,0,1,0,0,1,0,0,1,0,0,0
bars,1-3-2120,300000.0,125.1,4.0,9.0,13.0,1.0,0,1,0,0,1,0,0,0,44.50449735,40.1832187,951,9481,4641,1805,4544,1,7,6,3,1,1,1,0,0,0,1,0,0,0,0,1
myrealty,127479,100000.0,65.0,3.0,1.0,12.0,1.0,0,0,0,0,0,0,0,0,44.51488777979646,40.16624129129846,2197,9843,2666,3885,3422,7,4,4,0,1,0,2,2,0,0,1,0,1,0,0,0
myrealty,132492,380000.0,146.0,4.0,4.0,5.0,3.0,0,0,0,0,0,0,0,0,44.517821617617976,40.177431841441944,980,10353,3460,3003,4522,9,12,8,1,0,0,1,0,0,0,0,1,0,0,1,0
bars,1-A-103,190000.0,93.0,3.0,5.0,6.0,2.0,1,1,0,0,1,0,0,0,44.51228432718437,40.19590302536037,1126,10663,5501,1578,6098,0,1,4,0,0,1,0,0,0,1,0,0,0,1,0,0
myrealty,135884,87000.0,47.0,1.0,2.0,5.0,1.0,0,0,0,0,0,1,0,0,44.520265311668524,40.1995721688172,1571,11452,5649,2264,6744,3,4,8,0,0,0,3,0,0,0,0,1,1,0,0,0
myrealty,139767,90000.0,52.0,2.0,6.0,18.0,1.0,0,0,0,0,0,0,0,0,44.4567380668362,40.166016462777485,5432,5016,7184,4685,3409,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
myrealty,142724,135000.0,60.0,2.0,4.0,4.0,1.0,1,0,1,0,0,1,1,1,44.56539074220192,40.19765725538915,4464,14889,5675,6082,8948,9,16,10,1,1,0,1,0,1,0,0,0,1,0,0,0
bnakaran,d117521,110000.0,60.0,2.0,2.0,6.0,1.0,0,0,0,0,0,1,0,0,44.532505576721,40.202521743264,2358,12528,5776,3341,7532,4,6,5,1,0,2,0,10,0,0,0,1,1,0,0,0
bars,1-3-1723,160000.0,141.0,5.0,3.0,3.0,1.0,0,1,0,0,0,0,0,0,44.45609932611657,40.15477242139723,6097,4733,7051,5705,2755,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
myrealty,141564,125000.0,76.0,3.0,2.0,5.0,1.0,0,0,0,0,0,0,0,0,44.5197902,40.1991886,1519,11397,5620,2219,6688,2,3,10,0,0,0,2,0,0,0,0,1,1,0,0,0
