,source,webpage,success,error,skipped
101,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Norashen+district/Achapnyak/Yerevan/142596,True,,
102,bars,https://bars.am/en/properties/standard/apartment/1-3-2133,True,,
103,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-downtown-yerevan-d98281,True,,True
104,bnakaran,https://www.bnakaran.com/en/apartment-for-rent-in-downtown-yerevan-d117912,False,invalid literal for int() with base 10: '',
105,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Antarayin+St/Center/Yerevan/142594,True,,
106,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-center-yerevan-d117682,True,,True
107,bars,https://bars.am/en/properties/standard/apartment/6-NM3-6,True,,
108,myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale-in-new-construction/K.+Ulnetsi+St/Qanaqer-Zeytun/Yerevan/142589,True,,
109,bars,https://bars.am/en/properties/standard/apartment/1-3-2132,True,,
110,bars,https://bars.am/en/properties/standard/apartment/1-N-430,True,,
111,bars,https://bars.am/en/properties/standard/apartment/6-ACH3-126,True,,
112,bars,https://bars.am/en/properties/standard/apartment/4-3-1429,True,,
113,bars,https://bars.am/en/properties/standard/apartment/4-3-1427,True,,
114,bars,https://bars.am/en/properties/standard/apartment/4-2-203,True,,
115,bars,https://bars.am/en/properties/standard/apartment/6-NM2-5,True,,
116,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Saryan+St/Center/Yerevan/142583,True,,
117,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Sisakyan+St/Achapnyak/Yerevan/142581,True,,
118,myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Tigran+Mets+Ave/Center/Yerevan/142580,True,,
119,bars,https://bars.am/en/properties/standard/apartment/6-D3-208,True,,
120,myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Tpagrichner+St/Center/Yerevan/142579,True,,
121,myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale/Gyulbenkyan+St/Arabkir/Yerevan/142578,True,,
122,bars,https://bars.am/en/properties/standard/apartment/2-2-281,True,,
123,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Komitas+Ave/Arabkir/Yerevan/142577,True,,
124,myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale/Sebastia+str/Malatia-Sebastia/Yerevan/142556,True,,
125,bars,https://bars.am/en/properties/standard/apartment/6-D3-207,True,,
126,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Komitas+Ave/Arabkir/Yerevan/142552,True,,
127,myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Shinararner+St/Achapnyak/Yerevan/142547,True,,
128,bars,https://bars.am/en/properties/standard/apartment/4-3-111,True,,
129,myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Nalbandyan+St/Center/Yerevan/142546,True,,
130,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Khaghagh+Don+St/Erebuni/Yerevan/142541,True,,
131,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Hanrapetutyan+St/Center/Yerevan/142533,True,,
132,bars,https://bars.am/en/properties/standard/apartment/4-3-93,True,,
133,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Antarayin+St/Center/Yerevan/142530,True,,
134,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Gusan+Sheram+St/Malatia-Sebastia/Yerevan/142529,True,,
135,bars,https://bars.am/en/properties/standard/apartment/4-3-23,True,,
136,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Artashisyan+St/Shengavit/Yerevan/142528,True,,
137,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Tigran+Mets+Ave/Center/Yerevan/142527,True,,
138,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-rent-in-downtown-yerevan-d76965,True,,
139,bars,https://bars.am/en/properties/standard/apartment/4-2-151,True,,
140,myrealty,https://myrealty.am/en/5-bedroom/apartment-for-sale/Ayas+St/Center/Yerevan/142526,True,,
141,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-downtown-yerevan-d115650,True,,True
